ID,popName
1,Anthro Mountain
2,Baker
3,Bald Hills
4,Belt Mountains
5,Canada
6,Carbon
7,Central
8,Central
9,Central
10,Crab Creek
11,Dakotas
12,E-Central ID
13,E Tavaputs Plateau UT
14,Eagle/S Routt CO
15,Jackson Hole WY
16,Klamath OR/CA
17,Laramie WY
18,Meeker - White River
19,Middle Park CO
20,Moses Coulee
21,N Mono Lake CA/NV
22,North Park
23,Northern Great Basin
24,Northern Montana
25,NW-Interior NV
26,Panguitch
27,Parachute Piceance Roan
28,Parker Mountain-Emery
29,Pine Nut NV
30,Powder River Basin
31,Quinn Canyon Range NV
32,S Mono Lake CA
33,S White River UT
34,Sawtooth ID
35,Sheeprock Mountains
36,"Snake, Salmon, and Beaverhead"
37,Southern Great Basin
38,Southwest Montana
39,Strawberry
40,Warm Springs Valley NV
41,Weiser ID
42,West Tavaputs
43,Western Great Basin
44,White Mountains NV/CA
45,Wyoming Basin
46,Yakama Indian Nation
47,Yakima Training Center
48,Yellowstone Watershed
